chr start stop ROI
4903564 5 41401051 41401200 ID_10497
4903565 5 41401201 41401350 ID_10498
4903566 5 41401351 41401500 ID_10499
4904155 5 41489701 41489850 ID_10500
4904156 5 41489851 41490000 ID_10501
4904157 5 41490001 41490150 ID_10502
4905496 5 41690851 41691000 ID_10503
4905971 5 41762101 41762250 ID_10504
4905985 5 41764201 41764350 ID_10505
4905986 5 41764351 41764500 ID_10506
4908427 5 42130501 42130650 ID_10507
4909457 5 42285001 42285150 ID_10508
4909463 5 42285901 42286050 ID_10509
4909464 5 42286051 42286200 ID_10510
4909465 5 42286201 42286350 ID_10511
4912628 5 42760651 42760800 ID_10512
4913097 5 42831001 42831150 ID_10513
4913098 5 42831151 42831300 ID_10514
4913099 5 42831301 42831450 ID_10515
4913104 5 42832051 42832200 ID_10516
4913105 5 42832201 42832350 ID_10517
4913143 5 42837901 42838050 ID_10518
4914540 5 43047451 43047600 ID_10519
4914695 5 43070701 43070850 ID_10520
4914696 5 43070851 43071000 ID_10521
4915615 5 43208701 43208850 ID_10522
4916697 5 43371001 43371150 ID_10523
4916698 5 43371151 43371300 ID_10524
4918849 5 43693801 43693950 ID_10525
4919438 5 43782151 43782300 ID_10526
4919749 5 43828801 43828950 ID_10527
4919750 5 43828951 43829100 ID_10528
4919787 5 43834501 43834650 ID_10529
4919788 5 43834651 43834800 ID_10530
4919789 5 43834801 43834950 ID_10531
4919793 5 43835401 43835550 ID_10532
4919794 5 43835551 43835700 ID_10533
4919795 5 43835701 43835850 ID_10534
4921791 5 44135101 44135250 ID_10535
4921792 5 44135251 44135400 ID_10536
4921833 5 44141401 44141550 ID_10537
4921852 5 44144251 44144400 ID_10538
4921853 5 44144401 44144550 ID_10539
4921890 5 44149951 44150100 ID_10540
4923602 5 44406751 44406900 ID_10541
4923847 5 44443501 44443650 ID_10542
4924045 5 44473201 44473350 ID_10543
4924382 5 44523751 44523900 ID_10544
4925757 5 44730001 44730150 ID_10545
4925758 5 44730151 44730300 ID_10546
4927468 5 44986651 44986800 ID_10547
4929602 5 45306751 45306900 ID_10548
4930193 5 45395401 45395550 ID_10549
4930194 5 45395551 45395700 ID_10550
4930195 5 45395701 45395850 ID_10551
4930196 5 45395851 45396000 ID_10552
4930201 5 45396601 45396750 ID_10553
4930229 5 45400801 45400950 ID_10554
4930321 5 45414601 45414750 ID_10555
4930322 5 45414751 45414900 ID_10556
4930323 5 45414901 45415050 ID_10557
4931120 5 45534451 45534600 ID_10558
4932736 5 45776851 45777000 ID_10559
4933211 5 45848101 45848250 ID_10560
4936127 5 46285501 46285650 ID_10561
4937701 5 46521601 46521750 ID_10562
4937702 5 46521751 46521900 ID_10563
4940380 5 46923451 46923600 ID_10564
4940495 5 46940701 46940850 ID_10565
4940496 5 46940851 46941000 ID_10566
4940497 5 46941001 46941150 ID_10567
4940501 5 46941601 46941750 ID_10568
4940502 5 46941751 46941900 ID_10569
4940503 5 46941901 46942050 ID_10570
4941407 5 47077501 47077650 ID_10571
4941838 5 47142151 47142300 ID_10572
4941839 5 47142301 47142450 ID_10573
4941840 5 47142451 47142600 ID_10574
4941841 5 47142601 47142750 ID_10575
4941881 5 47148601 47148750 ID_10576
4944678 5 47568151 47568300 ID_10577
4945333 5 47666401 47666550 ID_10578
4945334 5 47666551 47666700 ID_10579
4947357 5 47970001 47970150 ID_10580
4947358 5 47970151 47970300 ID_10581
4947363 5 47970901 47971050 ID_10582
4947450 5 47983951 47984100 ID_10583
4947564 5 48001051 48001200 ID_10584
4948660 5 48165451 48165600 ID_10585
4949049 5 48223801 48223950 ID_10586
4949722 5 48324751 48324900 ID_10587
4950342 5 48417751 48417900 ID_10588
4950343 5 48417901 48418050 ID_10589
4950344 5 48418051 48418200 ID_10590
4950953 5 48509401 48509550 ID_10591
4950954 5 48509551 48509700 ID_10592
4951524 5 48595051 48595200 ID_10593
4952402 5 48726751 48726900 ID_10594
4952403 5 48726901 48727050 ID_10595
4952570 5 48751951 48752100 ID_10596
4953650 5 48913951 48914100 ID_10597
4955294 5 49160551 49160700 ID_10598
4955500 5 49191451 49191600 ID_10599
4955501 5 49191601 49191750 ID_10600
4955502 5 49191751 49191900 ID_10601
4955503 5 49191901 49192050 ID_10602
4955609 5 49207801 49207950 ID_10603
4955836 5 49241851 49242000 ID_10604
4956892 5 49400251 49400400 ID_10605
4958379 5 49623301 49623450 ID_10606
4958380 5 49623451 49623600 ID_10607
4958872 5 49697251 49697400 ID_10608
4958895 5 49700701 49700850 ID_10609
4958896 5 49700851 49701000 ID_10610
4958900 5 49701451 49701600 ID_10611
4958901 5 49701601 49701750 ID_10612
4958902 5 49701751 49701900 ID_10613
4958903 5 49701901 49702050 ID_10614
4958930 5 49705951 49706100 ID_10615
4958931 5 49706101 49706250 ID_10616
4958932 5 49706251 49706400 ID_10617
4960004 5 49867051 49867200 ID_10618
4960204 5 49897051 49897200 ID_10619
4960589 5 49954801 49954950 ID_10620
4960629 5 49960801 49960950 ID_10621
4960630 5 49960951 49961100 ID_10622
4962055 5 50174701 50174850 ID_10623
4962352 5 50219251 50219400 ID_10624
4962603 5 50256901 50257050 ID_10625
4962680 5 50268451 50268600 ID_10626
4962681 5 50268601 50268750 ID_10627
4962682 5 50268751 50268900 ID_10628
4962683 5 50268901 50269050 ID_10629
4965881 5 50748601 50748750 ID_10630
4968716 5 51173851 51174000 ID_10631
4969332 5 51266251 51266400 ID_10632
4969333 5 51266401 51266550 ID_10633
4971401 5 51576601 51576750 ID_10634
4972729 5 51775801 51775950 ID_10635
4972730 5 51775951 51776100 ID_10636
4973886 5 51949351 51949500 ID_10637
4974049 5 51973801 51973950 ID_10638
4974574 5 52052551 52052700 ID_10639
4974856 5 52094851 52095000 ID_10640
4974857 5 52095001 52095150 ID_10641
4975404 5 52177051 52177200 ID_10642
4977819 5 52539301 52539450 ID_10643
4977867 5 52546501 52546650 ID_10644
4977868 5 52546651 52546800 ID_10645
4979447 5 52783501 52783650 ID_10646
4979448 5 52783651 52783800 ID_10647
4980037 5 52872001 52872150 ID_10648
4980143 5 52887901 52888050 ID_10649
4980144 5 52888051 52888200 ID_10650
4980345 5 52918201 52918350 ID_10651
4980346 5 52918351 52918500 ID_10652
4980347 5 52918501 52918650 ID_10653
4980348 5 52918651 52918800 ID_10654
4980349 5 52918801 52918950 ID_10655
4981082 5 53028751 53028900 ID_10656
4981125 5 53035201 53035350 ID_10657
4981892 5 53150251 53150400 ID_10658
4981893 5 53150401 53150550 ID_10659
4982223 5 53199901 53200050 ID_10660
4982224 5 53200051 53200200 ID_10661
4982318 5 53214151 53214300 ID_10662
4982945 5 53308201 53308350 ID_10663
4982946 5 53308351 53308500 ID_10664
4983449 5 53383801 53383950 ID_10665
4984776 5 53582851 53583000 ID_10666
4986289 5 53809801 53809950 ID_10667
4987714 5 54023551 54023700 ID_10668
4987983 5 54063901 54064050 ID_10669
4987984 5 54064051 54064200 ID_10670
4987985 5 54064201 54064350 ID_10671
4988438 5 54132151 54132300 ID_10672
4988617 5 54159001 54159150 ID_10673
4989174 5 54242551 54242700 ID_10674
4989175 5 54242701 54242850 ID_10675
4989797 5 54336001 54336150 ID_10676
4990550 5 54448951 54449100 ID_10677
4990551 5 54449101 54449250 ID_10678
4990555 5 54449701 54449850 ID_10679
4990556 5 54449851 54450000 ID_10680
4990557 5 54450001 54450150 ID_10681
4990558 5 54450151 54450300 ID_10682
4991179 5 54543301 54543450 ID_10683
4991231 5 54551101 54551250 ID_10684
4991232 5 54551251 54551400 ID_10685
4991233 5 54551401 54551550 ID_10686
4991249 5 54553801 54553950 ID_10687
4991250 5 54553951 54554100 ID_10688
4994307 5 55012501 55012650 ID_10689
4994308 5 55012651 55012800 ID_10690
4994820 5 55089451 55089600 ID_10691
4995382 5 55173751 55173900 ID_10692
4996109 5 55282801 55282950 ID_10693
4996130 5 55285951 55286100 ID_10694
4996299 5 55311301 55311450 ID_10695
4996930 5 55405951 55406100 ID_10696
4997216 5 55448851 55449000 ID_10697
4997253 5 55454401 55454550 ID_10698
4997254 5 55454551 55454700 ID_10699
4998537 5 55647001 55647150 ID_10700
4998538 5 55647151 55647300 ID_10701
4998539 5 55647301 55647450 ID_10702
4998576 5 55652851 55653000 ID_10703
4998577 5 55653001 55653150 ID_10704
4998578 5 55653151 55653300 ID_10705
4998579 5 55653301 55653450 ID_10706
4998605 5 55657201 55657350 ID_10707
4998606 5 55657351 55657500 ID_10708
4998607 5 55657501 55657650 ID_10709
4999638 5 55812151 55812300 ID_10710
4999702 5 55821751 55821900 ID_10711
5000217 5 55899001 55899150 ID_10712
5000218 5 55899151 55899300 ID_10713
5000219 5 55899301 55899450 ID_10714
5002028 5 56170651 56170800 ID_10715
5002029 5 56170801 56170950 ID_10716
5002030 5 56170951 56171100 ID_10717
5004990 5 56614951 56615100 ID_10718
5006174 5 56792551 56792700 ID_10719
5006624 5 56860051 56860200 ID_10720
5007677 5 57018001 57018150 ID_10721
5007683 5 57018901 57019050 ID_10722
5007825 5 57040201 57040350 ID_10723
5008007 5 57067501 57067650 ID_10724
5010640 5 57462451 57462600 ID_10725
5010641 5 57462601 57462750 ID_10726
5010642 5 57462751 57462900 ID_10727
5010665 5 57466201 57466350 ID_10728
5011303 5 57561901 57562050 ID_10729
5011304 5 57562051 57562200 ID_10730
5011443 5 57582901 57583050 ID_10731
5011889 5 57649801 57649950 ID_10732
5011890 5 57649951 57650100 ID_10733
5012167 5 57691501 57691650 ID_10734
5012168 5 57691651 57691800 ID_10735
5012174 5 57692551 57692700 ID_10736
5012175 5 57692701 57692850 ID_10737
5012200 5 57696451 57696600 ID_10738
5012336 5 57716851 57717000 ID_10739
5012346 5 57718351 57718500 ID_10740
5012347 5 57718501 57718650 ID_10741
5012813 5 57788401 57788550 ID_10742
5014968 5 58111651 58111800 ID_10743
5016392 5 58325251 58325400 ID_10744
5016393 5 58325401 58325550 ID_10745
5016394 5 58325551 58325700 ID_10746
5016395 5 58325701 58325850 ID_10747
5020913 5 59003401 59003550 ID_10748
5020914 5 59003551 59003700 ID_10749
5020957 5 59010001 59010150 ID_10750
5021242 5 59052751 59052900 ID_10751
5021243 5 59052901 59053050 ID_10752
5021535 5 59096701 59096850 ID_10753
5021536 5 59096851 59097000 ID_10754
5021537 5 59097001 59097150 ID_10755
5021686 5 59119351 59119500 ID_10756
5021687 5 59119501 59119650 ID_10757
5021688 5 59119651 59119800 ID_10758
5021725 5 59125201 59125350 ID_10759
5021726 5 59125351 59125500 ID_10760
5021727 5 59125501 59125650 ID_10761
5021732 5 59126251 59126400 ID_10762
5021733 5 59126401 59126550 ID_10763
5021970 5 59161951 59162100 ID_10764
5022120 5 59184451 59184600 ID_10765
5022121 5 59184601 59184750 ID_10766
5022122 5 59184751 59184900 ID_10767
5022126 5 59185351 59185500 ID_10768
5022127 5 59185501 59185650 ID_10769
5022128 5 59185651 59185800 ID_10770
5022255 5 59204701 59204850 ID_10771
5023822 5 59439751 59439900 ID_10772
5023823 5 59439901 59440050 ID_10773
5023828 5 59440651 59440800 ID_10774
5023829 5 59440801 59440950 ID_10775
5023853 5 59444401 59444550 ID_10776
5023854 5 59444551 59444700 ID_10777
5027006 5 59917351 59917500 ID_10778
5027252 5 59954251 59954400 ID_10779
5027253 5 59954401 59954550 ID_10780
5027254 5 59954551 59954700 ID_10781
5027640 5 60012451 60012600 ID_10782
5028247 5 60103501 60103650 ID_10783
5028475 5 60137701 60137850 ID_10784
5028476 5 60137851 60138000 ID_10785
5028539 5 60147301 60147450 ID_10786
5028807 5 60187501 60187650 ID_10787
5030078 5 60378151 60378300 ID_10788
5030374 5 60422551 60422700 ID_10789
5031914 5 60653551 60653700 ID_10790
5032607 5 60757501 60757650 ID_10791
5032608 5 60757651 60757800 ID_10792
5032613 5 60758401 60758550 ID_10793
5032614 5 60758551 60758700 ID_10794
5032940 5 60807451 60807600 ID_10795
5032941 5 60807601 60807750 ID_10796
5032947 5 60808501 60808650 ID_10797
5032948 5 60808651 60808800 ID_10798
5033066 5 60826351 60826500 ID_10799
5034007 5 60967501 60967650 ID_10800
5034682 5 61068751 61068900 ID_10801
5034683 5 61068901 61069050 ID_10802
5036156 5 61289851 61290000 ID_10803
5036414 5 61328551 61328700 ID_10804
5036421 5 61329601 61329750 ID_10805
5036449 5 61333801 61333950 ID_10806
5037089 5 61429801 61429950 ID_10807
5037577 5 61503001 61503150 ID_10808
5041815 5 62138701 62138850 ID_10809
5042054 5 62174551 62174700 ID_10810
5042551 5 62249101 62249250 ID_10811
5043787 5 62434501 62434650 ID_10812
5044540 5 62547451 62547600 ID_10813
5045057 5 62625001 62625150 ID_10814
5046684 5 62869051 62869200 ID_10815
5046685 5 62869201 62869350 ID_10816
5046686 5 62869351 62869500 ID_10817
5047167 5 62941501 62941650 ID_10818
5047404 5 62977051 62977200 ID_10819
5047405 5 62977201 62977350 ID_10820
5047406 5 62977351 62977500 ID_10821
5047407 5 62977501 62977650 ID_10822
5047566 5 63001351 63001500 ID_10823
5047567 5 63001501 63001650 ID_10824
5048140 5 63087451 63087600 ID_10825
5048141 5 63087601 63087750 ID_10826
5048483 5 63138901 63139050 ID_10827
5051098 5 63531151 63531300 ID_10828
5052333 5 63716401 63716550 ID_10829
5052334 5 63716551 63716700 ID_10830
5052941 5 63807601 63807750 ID_10831
5052949 5 63808801 63808950 ID_10832
5053639 5 63912301 63912450 ID_10833
5054305 5 64012201 64012350 ID_10834
5054340 5 64017451 64017600 ID_10835
5054341 5 64017601 64017750 ID_10836
5054430 5 64030951 64031100 ID_10837
5054431 5 64031101 64031250 ID_10838
5054432 5 64031251 64031400 ID_10839
5054438 5 64032151 64032300 ID_10840
5054439 5 64032301 64032450 ID_10841
5054440 5 64032451 64032600 ID_10842
5054476 5 64037851 64038000 ID_10843
5054477 5 64038001 64038150 ID_10844
5054478 5 64038151 64038300 ID_10845
5054523 5 64044901 64045050 ID_10846
5055021 5 64119601 64119750 ID_10847
5055294 5 64160551 64160700 ID_10848
5055936 5 64256851 64257000 ID_10849
5056297 5 64311001 64311150 ID_10850
5056298 5 64311151 64311300 ID_10851
5056525 5 64345201 64345350 ID_10852
5056959 5 64410301 64410450 ID_10853
5056960 5 64410451 64410600 ID_10854
5057067 5 64426501 64426650 ID_10855
5057225 5 64450201 64450350 ID_10856
5057277 5 64458001 64458150 ID_10857
5057278 5 64458151 64458300 ID_10858
5057517 5 64494001 64494150 ID_10859
5057943 5 64557901 64558050 ID_10860
5057944 5 64558051 64558200 ID_10861
5057981 5 64563601 64563750 ID_10862
5057982 5 64563751 64563900 ID_10863
5057983 5 64563901 64564050 ID_10864
5057988 5 64564651 64564800 ID_10865
5057989 5 64564801 64564950 ID_10866
5059297 5 64761001 64761150 ID_10867
5059705 5 64822201 64822350 ID_10868
5060062 5 64875751 64875900 ID_10869
5060156 5 64889851 64890000 ID_10870
5060157 5 64890001 64890150 ID_10871
5060190 5 64894951 64895100 ID_10872
5060191 5 64895101 64895250 ID_10873
5060192 5 64895251 64895400 ID_10874
5060197 5 64896001 64896150 ID_10875
5060198 5 64896151 64896300 ID_10876
5060199 5 64896301 64896450 ID_10877
5060200 5 64896451 64896600 ID_10878
5060201 5 64896601 64896750 ID_10879
5061053 5 65024401 65024550 ID_10880
5061187 5 65044501 65044650 ID_10881
5061188 5 65044651 65044800 ID_10882
5061189 5 65044801 65044950 ID_10883
5061190 5 65044951 65045100 ID_10884
5062382 5 65223751 65223900 ID_10885
5062383 5 65223901 65224050 ID_10886
5062572 5 65252251 65252400 ID_10887
5062573 5 65252401 65252550 ID_10888
5062961 5 65310601 65310750 ID_10889
5063675 5 65417701 65417850 ID_10890
5064234 5 65501551 65501700 ID_10891
5064235 5 65501701 65501850 ID_10892
5064236 5 65501851 65502000 ID_10893
5064769 5 65581801 65581950 ID_10894
5065976 5 65762851 65763000 ID_10895
5065977 5 65763001 65763150 ID_10896
5067364 5 65971051 65971200 ID_10897
5067703 5 66021901 66022050 ID_10898
5067704 5 66022051 66022200 ID_10899
5067731 5 66026101 66026250 ID_10900
5067732 5 66026251 66026400 ID_10901
5067733 5 66026401 66026550 ID_10902
5067734 5 66026551 66026700 ID_10903
5067735 5 66026701 66026850 ID_10904
5068563 5 66150901 66151050 ID_10905
5068583 5 66153901 66154050 ID_10906
5069491 5 66290101 66290250 ID_10907
5069492 5 66290251 66290400 ID_10908
5069583 5 66303901 66304050 ID_10909
5069584 5 66304051 66304200 ID_10910
5070722 5 66474751 66474900 ID_10911
5070723 5 66474901 66475050 ID_10912
5071207 5 66547501 66547650 ID_10913
5071440 5 66582451 66582600 ID_10914
5071964 5 66661051 66661200 ID_10915
5071965 5 66661201 66661350 ID_10916
5071966 5 66661351 66661500 ID_10917
5072793 5 66785401 66785550 ID_10918
5073697 5 66921001 66921150 ID_10919
5073698 5 66921151 66921300 ID_10920
5074447 5 67033501 67033650 ID_10921
5074597 5 67056001 67056150 ID_10922
5075594 5 67205551 67205700 ID_10923
5075595 5 67205701 67205850 ID_10924
5075596 5 67205851 67206000 ID_10925
5076654 5 67364551 67364700 ID_10926
5076655 5 67364701 67364850 ID_10927
5076751 5 67379101 67379250 ID_10928
5076891 5 67400101 67400250 ID_10929
5076892 5 67400251 67400400 ID_10930
5076893 5 67400401 67400550 ID_10931
5079498 5 67791151 67791300 ID_10932
5079499 5 67791301 67791450 ID_10933
5081274 5 68057551 68057700 ID_10934
5081275 5 68057701 68057850 ID_10935
5081809 5 68137801 68137950 ID_10936
5082077 5 68178001 68178150 ID_10937
5082353 5 68219401 68219550 ID_10938
5082363 5 68220901 68221050 ID_10939
5082364 5 68221051 68221200 ID_10940
5082365 5 68221201 68221350 ID_10941
5083056 5 68324851 68325000 ID_10942
5083644 5 68413051 68413200 ID_10943
5083645 5 68413201 68413350 ID_10944
5083646 5 68413351 68413500 ID_10945
5083651 5 68414101 68414250 ID_10946
5083652 5 68414251 68414400 ID_10947
5083676 5 68417851 68418000 ID_10948
5083806 5 68437351 68437500 ID_10949
5083807 5 68437501 68437650 ID_10950
5083808 5 68437651 68437800 ID_10951
5084034 5 68471551 68471700 ID_10952
5084035 5 68471701 68471850 ID_10953
5084036 5 68471851 68472000 ID_10954
5084138 5 68487151 68487300 ID_10955
5084177 5 68493001 68493150 ID_10956
5084178 5 68493151 68493300 ID_10957
5084179 5 68493301 68493450 ID_10958
5084207 5 68497501 68497650 ID_10959
5084208 5 68497651 68497800 ID_10960
5087872 5 69047251 69047400 ID_10961
5087873 5 69047401 69047550 ID_10962
5087878 5 69048151 69048300 ID_10963
5087879 5 69048301 69048450 ID_10964
5087880 5 69048451 69048600 ID_10965
5088381 5 69123601 69123750 ID_10966
5088382 5 69123751 69123900 ID_10967
5088383 5 69123901 69124050 ID_10968
5088384 5 69124051 69124200 ID_10969
5090717 5 69474001 69474150 ID_10970
5091937 5 69657001 69657150 ID_10971
5092210 5 69697951 69698100 ID_10972
5092612 5 69758251 69758400 ID_10973
5097766 5 70531351 70531500 ID_10974
5097843 5 70542901 70543050 ID_10975
5098199 5 70596301 70596450 ID_10976
5098548 5 70648651 70648800 ID_10977
5098553 5 70649401 70649550 ID_10978
5098554 5 70649551 70649700 ID_10979
5098555 5 70649701 70649850 ID_10980
5099302 5 70761751 70761900 ID_10981
5099303 5 70761901 70762050 ID_10982
5099304 5 70762051 70762200 ID_10983
5099305 5 70762201 70762350 ID_10984
5099306 5 70762351 70762500 ID_10985
5101962 5 71160751 71160900 ID_10986
5105210 5 71647951 71648100 ID_10987
5106357 5 71820001 71820150 ID_10988
5106358 5 71820151 71820300 ID_10989
5108060 5 72075451 72075600 ID_10990
5108061 5 72075601 72075750 ID_10991
5108066 5 72076351 72076500 ID_10992
5108067 5 72076501 72076650 ID_10993
5108467 5 72136501 72136650 ID_10994
5108468 5 72136651 72136800 ID_10995
5109073 5 72227401 72227550 ID_10996
5109075 5 72227701 72227850 ID_10997
5109367 5 72271501 72271650 ID_10998
5109369 5 72271801 72271950 ID_10999
5109425 5 72280201 72280350 ID_11000
5109426 5 72280351 72280500 ID_11001
5109779 5 72333301 72333450 ID_11002
5109973 5 72362401 72362550 ID_11003
5110755 5 72479701 72479850 ID_11004
5111121 5 72534601 72534750 ID_11005
5111122 5 72534751 72534900 ID_11006
5111455 5 72584701 72584850 ID_11007
5111683 5 72618901 72619050 ID_11008
5111917 5 72654001 72654150 ID_11009
5112494 5 72740551 72740700 ID_11010
5112531 5 72746101 72746250 ID_11011
5112608 5 72757651 72757800 ID_11012
5113653 5 72914401 72914550 ID_11013
5114303 5 73011901 73012050 ID_11014
5114304 5 73012051 73012200 ID_11015
5114305 5 73012201 73012350 ID_11016
5114406 5 73027351 73027500 ID_11017
5114407 5 73027501 73027650 ID_11018
5114408 5 73027651 73027800 ID_11019
5114538 5 73047151 73047300 ID_11020
5114564 5 73051051 73051200 ID_11021
5114565 5 73051201 73051350 ID_11022
5114594 5 73055551 73055700 ID_11023
5114816 5 73088851 73089000 ID_11024
5114817 5 73089001 73089150 ID_11025
5114818 5 73089151 73089300 ID_11026
5115638 5 73212151 73212300 ID_11027
5116952 5 73409251 73409400 ID_11028
5117119 5 73434301 73434450 ID_11029
5117120 5 73434451 73434600 ID_11030
5117121 5 73434601 73434750 ID_11031
5117285 5 73459201 73459350 ID_11032
5117322 5 73464751 73464900 ID_11033
5117323 5 73464901 73465050 ID_11034
5117324 5 73465051 73465200 ID_11035
5117331 5 73466101 73466250 ID_11036
5117630 5 73510951 73511100 ID_11037
5117631 5 73511101 73511250 ID_11038
5117632 5 73511251 73511400 ID_11039
5117783 5 73533901 73534050 ID_11040
5118495 5 73640701 73640850 ID_11041
5119037 5 73722001 73722150 ID_11042
5119955 5 73859701 73859850 ID_11043
5119956 5 73859851 73860000 ID_11044
5119957 5 73860001 73860150 ID_11045
5120233 5 73901401 73901550 ID_11046
5120269 5 73906801 73906950 ID_11047
5120270 5 73906951 73907100 ID_11048
5120271 5 73907101 73907250 ID_11049
5120805 5 73987201 73987350 ID_11050
5120806 5 73987351 73987500 ID_11051
5120807 5 73987501 73987650 ID_11052
5120808 5 73987651 73987800 ID_11053
5121106 5 74032351 74032500 ID_11054
5121107 5 74032501 74032650 ID_11055
5121262 5 74055751 74055900 ID_11056
5121565 5 74101201 74101350 ID_11057
5121832 5 74141251 74141400 ID_11058
5121896 5 74150851 74151000 ID_11059
5122222 5 74199751 74199900 ID_11060
5122973 5 74312401 74312550 ID_11061
5126581 5 74853601 74853750 ID_11062
5126582 5 74853751 74853900 ID_11063
5127477 5 74988001 74988150 ID_11064
5127478 5 74988151 74988300 ID_11065
5127479 5 74988301 74988450 ID_11066
5127480 5 74988451 74988600 ID_11067
5127481 5 74988601 74988750 ID_11068
5127862 5 75045751 75045900 ID_11069
5128291 5 75110101 75110250 ID_11070
5128858 5 75195151 75195300 ID_11071
5128859 5 75195301 75195450 ID_11072
5128917 5 75204001 75204150 ID_11073
5129592 5 75305251 75305400 ID_11074
5129593 5 75305401 75305550 ID_11075
5129594 5 75305551 75305700 ID_11076
5129595 5 75305701 75305850 ID_11077
5129621 5 75309601 75309750 ID_11078
5129622 5 75309751 75309900 ID_11079
5129623 5 75309901 75310050 ID_11080
5129624 5 75310051 75310200 ID_11081
5130139 5 75387301 75387450 ID_11082
5130140 5 75387451 75387600 ID_11083
5130141 5 75387601 75387750 ID_11084
5130514 5 75443551 75443700 ID_11085
5130637 5 75462001 75462150 ID_11086
5130638 5 75462151 75462300 ID_11087
5131159 5 75540301 75540450 ID_11088
5131160 5 75540451 75540600 ID_11089
5131529 5 75595801 75595950 ID_11090
5131530 5 75595951 75596100 ID_11091
5131531 5 75596101 75596250 ID_11092
5131830 5 75640951 75641100 ID_11093
5131831 5 75641101 75641250 ID_11094
5131959 5 75660301 75660450 ID_11095
5131960 5 75660451 75660600 ID_11096
5132401 5 75726601 75726750 ID_11097
5132456 5 75734851 75735000 ID_11098
5132457 5 75735001 75735150 ID_11099
5132458 5 75735151 75735300 ID_11100
5133363 5 75870901 75871050 ID_11101
5133364 5 75871051 75871200 ID_11102
5134721 5 76074601 76074750 ID_11103
5135003 5 76116901 76117050 ID_11104
5135113 5 76133401 76133550 ID_11105
5135715 5 76223701 76223850 ID_11106
5135716 5 76223851 76224000 ID_11107
5135717 5 76224001 76224150 ID_11108
5136065 5 76276201 76276350 ID_11109
5137344 5 76468051 76468200 ID_11110
5137853 5 76544401 76544550 ID_11111
5137854 5 76544551 76544700 ID_11112
5137855 5 76544701 76544850 ID_11113
5138376 5 76622851 76623000 ID_11114
5138445 5 76633201 76633350 ID_11115
5138470 5 76636951 76637100 ID_11116
5139389 5 76774801 76774950 ID_11117
5139390 5 76774951 76775100 ID_11118
5139904 5 76852051 76852200 ID_11119
5140457 5 76935001 76935150 ID_11120
5140474 5 76937551 76937700 ID_11121
5140475 5 76937701 76937850 ID_11122
5140759 5 76980301 76980450 ID_11123
5140760 5 76980451 76980600 ID_11124
5140877 5 76998001 76998150 ID_11125
5140878 5 76998151 76998300 ID_11126
5140919 5 77004301 77004450 ID_11127
5141017 5 77019001 77019150 ID_11128
5141035 5 77021701 77021850 ID_11129
5141036 5 77021851 77022000 ID_11130
5141037 5 77022001 77022150 ID_11131
5141042 5 77022751 77022900 ID_11132
5141043 5 77022901 77023050 ID_11133
5141044 5 77023051 77023200 ID_11134
5141271 5 77057101 77057250 ID_11135
5142674 5 77267551 77267700 ID_11136
5142680 5 77268451 77268600 ID_11137
5142681 5 77268601 77268750 ID_11138
5142682 5 77268751 77268900 ID_11139
5142762 5 77280751 77280900 ID_11140
5142763 5 77280901 77281050 ID_11141
5142953 5 77309401 77309550 ID_11142
5142954 5 77309551 77309700 ID_11143
5142956 5 77309851 77310000 ID_11144
5144578 5 77553151 77553300 ID_11145
5144634 5 77561551 77561700 ID_11146
5144660 5 77565451 77565600 ID_11147
5144666 5 77566351 77566500 ID_11148
5144667 5 77566501 77566650 ID_11149
5144668 5 77566651 77566800 ID_11150
5145017 5 77619001 77619150 ID_11151
5145018 5 77619151 77619300 ID_11152
5145068 5 77626651 77626800 ID_11153
5146027 5 77770501 77770650 ID_11154
5146028 5 77770651 77770800 ID_11155
5146029 5 77770801 77770950 ID_11156
5146055 5 77774701 77774850 ID_11157
5146056 5 77774851 77775000 ID_11158
5146533 5 77846401 77846550 ID_11159
5146534 5 77846551 77846700 ID_11160
5148650 5 78163951 78164100 ID_11161
5154357 5 79020001 79020150 ID_11162
5155318 5 79164151 79164300 ID_11163
5157883 5 79548901 79549050 ID_11164
5158070 5 79576951 79577100 ID_11165
5159615 5 79808701 79808850 ID_11166
5159689 5 79819801 79819950 ID_11167
5160338 5 79917151 79917300 ID_11168
5161280 5 80058451 80058600 ID_11169
5161281 5 80058601 80058750 ID_11170
5161286 5 80059351 80059500 ID_11171
5161287 5 80059501 80059650 ID_11172
5164941 5 80607601 80607750 ID_11173
5164942 5 80607751 80607900 ID_11174
5166558 5 80850151 80850300 ID_11175
5166559 5 80850301 80850450 ID_11176
5168415 5 81128701 81128850 ID_11177
5168425 5 81130201 81130350 ID_11178
5169181 5 81243601 81243750 ID_11179
5169182 5 81243751 81243900 ID_11180
5170907 5 81502501 81502650 ID_11181
5171096 5 81530851 81531000 ID_11182
5171132 5 81536251 81536400 ID_11183
5171409 5 81577801 81577950 ID_11184
5171770 5 81631951 81632100 ID_11185
5171780 5 81633451 81633600 ID_11186
5172341 5 81717601 81717750 ID_11187
5172401 5 81726601 81726750 ID_11188
5172402 5 81726751 81726900 ID_11189
5173870 5 81946951 81947100 ID_11190
5174584 5 82054051 82054200 ID_11191
5174585 5 82054201 82054350 ID_11192
5178505 5 82642201 82642350 ID_11193
5179969 5 82861801 82861950 ID_11194
5180045 5 82873201 82873350 ID_11195
